Distance,Correlation,Abs_Correlation
Distance (38 to 42),-0.7248884950545673,0.7248884950545673
Distance (39 to 41),-0.7105092516183982,0.7105092516183982
Distance (45 to 47),-0.7050375953563478,0.7050375953563478
Distance (44 to 48),-0.703900368077095,0.703900368077095
Distance (38 to 41),-0.6966002203925268,0.6966002203925268
Distance (39 to 40),-0.6943128316006256,0.6943128316006256
Distance (45 to 48),-0.6936453875173615,0.6936453875173615
Distance (44 to 47),-0.6930569021270996,0.6930569021270996
Distance (47 to 48),-0.6738879918066011,0.6738879918066011
Distance (39 to 42),-0.6678956870294508,0.6678956870294508
Distance (43 to 44),-0.6673391683650245,0.6673391683650245
Distance (53 to 64),-0.6632639898168611,0.6632639898168611
Distance (44 to 45),-0.6600830066593995,0.6600830066593995
Distance (52 to 63),-0.6593266218337169,0.6593266218337169
Distance (38 to 40),-0.6588970475590382,0.6588970475590382
Distance (43 to 45),-0.6557477829619599,0.6557477829619599
Distance (21 to 40),-0.6545631432734178,0.6545631432734178
Distance (21 to 41),-0.653895530870519,0.653895530870519
Distance (22 to 28),-0.6483955855313523,0.6483955855313523
Distance (20 to 42),-0.6481656217712102,0.6481656217712102
Distance (20 to 41),-0.6474433932570604,0.6474433932570604
Distance (43 to 47),-0.6462301841145012,0.6462301841145012
Distance (21 to 42),-0.6442269501054911,0.6442269501054911
Distance (20 to 40),-0.6412780253200251,0.6412780253200251
Distance (24 to 43),-0.6409311506677896,0.6409311506677896
Distance (41 to 42),-0.6402525269321981,0.6402525269321981
Distance (40 to 42),-0.6367500873696512,0.6367500873696512
Distance (24 to 47),-0.6340466033199027,0.6340466033199027
Distance (24 to 48),-0.6327422216091881,0.6327422216091881
Distance (38 to 39),-0.6321549805054255,0.6321549805054255
Distance (22 to 47),-0.6319120409087557,0.6319120409087557
Distance (25 to 43),-0.6298641597793331,0.6298641597793331
Distance (23 to 28),-0.629066319903755,0.629066319903755
Distance (40 to 41),-0.6289556806079103,0.6289556806079103
Distance (21 to 28),-0.6285353134358799,0.6285353134358799
Distance (20 to 37),-0.6281951457573701,0.6281951457573701
Distance (51 to 62),-0.6278712380948622,0.6278712380948622
Distance (25 to 48),-0.6277104214034497,0.6277104214034497
Distance (22 to 23),-0.6270715085850848,0.6270715085850848
Distance (46 to 48),-0.6265758373331622,0.6265758373331622
Distance (44 to 46),-0.6263412904534063,0.6263412904534063
Distance (49 to 61),-0.624024258220991,0.624024258220991
Distance (22 to 48),-0.6223590190560359,0.6223590190560359
Distance (37 to 38),-0.621914487684992,0.621914487684992
Distance (53 to 63),-0.6218600412123026,0.6218600412123026
Distance (21 to 29),-0.6217995440659945,0.6217995440659945
Distance (26 to 48),-0.6216793128472279,0.6216793128472279
Distance (26 to 43),-0.6209331631733314,0.6209331631733314
Distance (22 to 24),-0.620927743052136,0.620927743052136
Distance (36 to 45),-0.6207254727931556,0.6207254727931556
Distance (22 to 45),-0.6204467460400204,0.6204467460400204
