X_Biden,Y_Biden,X_Trump,Y_Trump,X_Obama,Y_Obama,X_George W. Bush,Y_George W. Bush,X_Bill Clinton,Y_Bill Clinton,X_George H. W. Bush,Y_George H. W. Bush,X_Ronald Reagan,Y_Ronald Reagan,X_Jimmy Carter,Y_Jimmy Carter,X_Richard Nixon,Y_Richard Nixon,X_Lyndon B. Johnson,Y_Lyndon B. Johnson,X_John F. Kennedy,Y_John F. Kennedy,X_Kamala Harris,Y_Kamala Harris,X_Hillary Clinton,Y_Hillary Clinton,X_Mitt Romney,Y_Mitt Romney,X_John McCain,Y_John McCain,X_John Kerry,Y_John Kerry,X_Al Gore,Y_Al Gore,X_Bob Dole,Y_Bob Dole,X_Michael Dukakis,Y_Michael Dukakis,X_Walter Mondale,Y_Walter Mondale,X_George McGovern,Y_George McGovern,X_Hubert Humphrey,Y_Hubert Humphrey,X_Barry Goldwater,Y_Barry Goldwater
411,304,166,113,87,142,173,118,205,100,161,119,152,167,141,140,236,260,281,426,345,323,419,372,437,320,383,326,363,342,394,335,473,306,334,334,496,259,441,334,97,145,416,201,420,140
463,307,185,114,99,143,194,120,226,104,176,121,169,167,156,138,270,264,331,430,381,323,452,373,482,323,438,325,404,340,444,333,524,311,375,341,543,260,482,339,106,146,479,205,472,141
513,311,203,116,111,144,214,124,245,108,192,123,186,167,171,138,303,267,381,436,418,327,484,377,527,327,493,326,446,340,492,332,576,315,414,348,592,266,523,346,116,147,539,209,523,145
563,321,222,118,124,147,235,128,263,113,207,125,202,169,186,139,337,273,430,445,457,335,517,386,573,333,550,330,488,341,542,331,628,319,453,355,644,274,564,353,125,148,600,218,574,153
612,341,238,125,135,151,253,136,280,121,222,130,219,173,202,141,366,286,473,463,496,349,549,399,616,348,601,350,532,351,590,338,681,332,490,369,697,288,602,366,133,151,654,243,620,171
654,375,252,138,146,158,269,148,296,133,235,139,234,179,216,147,390,308,512,492,531,372,578,421,651,376,646,385,569,372,636,356,726,359,523,394,746,316,635,391,141,155,699,283,659,200
692,413,263,154,155,166,282,164,309,147,246,151,246,189,228,157,410,334,546,526,563,404,604,448,680,414,683,428,599,402,680,381,766,396,553,423,785,354,659,425,147,161,734,330,684,241
725,456,271,173,162,176,291,182,320,161,253,166,257,201,236,168,426,362,574,565,590,440,625,479,702,459,714,476,628,434,719,410,800,439,578,456,818,399,677,462,153,169,760,384,702,286
734,507,273,192,163,188,293,203,323,178,254,184,263,216,240,183,430,394,579,614,596,486,630,513,708,504,727,529,637,477,738,454,808,493,581,499,826,463,679,503,155,177,768,448,708,334
725,560,269,209,161,201,289,224,319,196,250,201,261,233,239,201,420,424,569,661,588,532,622,546,697,548,720,578,632,526,733,504,795,548,569,542,818,534,672,545,154,186,763,513,708,385
